tag,near_synonyms
!,"!!, spoken_exclamation_mark"
!?,spoken_interrobang
...,spoken_ellipsis
10000_yen_note,"high_denomination_banknote, yen"
360_panorama,panorama
3;,"3:, one_eye_closed"
4koma,"comic, multiple_4koma, square_4koma"
4th_match_flame_(e.g.o),e.g.o_(project_moon)
4x4_rubik's_cube,rubik's_cube
67_(meme),moeangel_67_(meme)
8_of_my_10_favorite_characters,multiple_drawing_challenge
9:2_(e.g.o),e.g.o_(project_moon)
:/,;/
:3,";3, x3"
:d,"smile, ;d, xd"
:|,"closed_mouth, ;|"
;(,"frown, one_eye_closed"
;),"one_eye_closed, smile"
;3,":3, one_eye_closed"
;<,":<, one_eye_closed"
;>,":>, one_eye_closed"
;d,":d, one_eye_closed, smile"
;i,":i, one_eye_closed"
;o,":o, one_eye_closed"
;p,":p, one_eye_closed, tongue_out"
;q,":q, one_eye_closed, tongue_out"
;t,":t, one_eye_closed"
;|,":|, one_eye_closed"
>_<,"dx, x3, xd"
?,"??, spoken_question_mark"
@_@,spiral-only_eyes
\m/,double_\m/
\n/,double_\n/
\o/,"arms_up, outstretched_arms"
\||/,double_\||/
^_^,"closed_eyes, ^q^"
above-cleavage_cutout,clothing_cutout
abs,covered_abs
absolutely_everyone,everyone
absurdly_detailed_composition,"complex_exterior, loaded_interior"
aburaage,food
accidental_voyeurism,voyeurism
accordion,instrument
accurate_ballet,ballet
ace_(playing_card),"playing_card, ace_of_clubs, ace_of_diamonds, ace_of_hearts, ace_of_spades"
ace_of_clubs,"ace_(playing_card), club_(shape)"
ace_of_diamonds,"ace_(playing_card), diamond_(shape)"
ace_of_hearts,"ace_(playing_card), heart"
ace_of_spades,"ace_(playing_card), spade_(shape)"
adaptive_combat_rifle,assault_rifle
adjusting_bow,bow
adjusting_bra,"bra, adjusting_clothes"
adjusting_buruma,"adjusting_clothes, buruma"
adjusting_clothes,"adjusting_bra, adjusting_buruma, adjusting_gloves, adjusting_headwear, adjusting_legwear, adjusting_leotard, adjusting_necktie, adjusting_panties, adjusting_shoe, adjusting_shorts, adjusting_sock, adjusting_swimsuit"
adjusting_earrings,earrings
adjusting_eyewear,"finger_on_eyewear, hand_on_eyewear"
adjusting_gloves,"gloves, adjusting_clothes"
adjusting_leotard,"leotard, adjusting_clothes"
adjusting_necktie,"necktie, adjusting_clothes"
adjusting_panties,"panties, adjusting_clothes"
adjusting_shirt,shirt
adjusting_shorts,"adjusting_clothes, shorts"
adjusting_swimsuit,"swimsuit, adjusting_clothes"
adoration_(e.g.o),e.g.o_(project_moon)
adult_baby,ageplay
aedd_(e.g.o),e.g.o_(project_moon)
aek-971,assault_rifle
aerial_battle,"battle, dogfight"
afro,huge_afro
against_glass,"ass_on_glass, breasts_on_glass, hand_on_glass, pectorals_on_glass"
age_difference,"onee-loli, onee-shota, onii-shota"
age_switch,"aged_down, aged_up"
aged_down,"age_regression, age_switch"
aguav_berry,berry_(pokemon)
ahoge,"antenna_hair, detached_ahoge, dyed_ahoge, heart_ahoge, huge_ahoge, lightning_ahoge, ahoge_wag, side_ahoge, upright_ahoge, wilted_ahoge"
ahoge_wag,"ahoge, expressive_hair"
ai-generated_art_(topic),"ai-generated_encore_(meme), ai-generated_touhou, ai_angry_dr._mario_(meme), ai_drawing_anime_characters_eating_ramen_(meme), ai_drawing_cat_in_front_of_eye_(meme), ai_drawing_person_in_cake_(meme), ash_baby_(meme), domino's_pizza_ai_images_(meme), gaming_penis_ikebana_(meme), italian_brainrot_ai_animals_(meme), no_to_ai_generated_images_(alexander_nanitchkov)"
ai_arctic_warfare,"bolt_action, sniper_rifle"
aiming,aiming_at_viewer
air_bubble,bubble
air_pump,bicycle_pump
aircraft,"airplane, airship, autogyro, dirigible, glider, helicopter, hot_air_balloon"
airplane,"aircraft, biplane, bomber, fighter_jet, jet_airliner, propeller_fighter, seaplane, triplane"
ajirogasa,hat
ak-102,"assault_rifle, kalashnikov_rifle"
ak-107,"assault_rifle, kalashnikov_rifle"
ak-12,"assault_rifle, kalashnikov_rifle"
ak-15,"assault_rifle, kalashnikov_rifle"
ak-47,"assault_rifle, kalashnikov_rifle"
ak-74,"assault_rifle, kalashnikov_rifle, aks-74"
ak-74m,"assault_rifle, kalashnikov_rifle"
akanbe,"eyelid_pull, tongue_out"
akeome,happy_new_year
akm,"assault_rifle, kalashnikov_rifle, akms"
aks-74u,"assault_rifle, kalashnikov_rifle"
alarm_clock,"clock, holding_alarm_clock"
alcohol,"beer, champagne, liquor, sake, soju, tequila, vodka, whiskey, wine"
alien,grey_alien
all-terrain_vehicle,motor_vehicle
all_fours,bear_position
alpaca_ears,animal_ears
alternate_color,"alternate_shiny_pokemon, player_2, shiny_pokemon"
alternate_costume,official_alternate_costume
alternate_hairstyle,"official_alternate_hairstyle, hairstyle_switch"
alternate_skin_color,"darkened_skin, lightened_skin"
alternate_weapon,weapon
amaryllis_(flower),flower
american_flag,"american_flag_print, american_flag_tattoo"
american_flag_bikini,"bikini, american_flag_print, flag_print_bikini"
american_flag_dress,dress
american_flag_gloves,"american_flag_print, print_gloves"
american_flag_jacket,"american_flag_print, print_jacket"
american_flag_kimono,"american_flag_print, print_kimono"
american_flag_pants,"american_flag_print, print_pants"
american_flag_print,"flag_print, american_flag, american_flag_bikini, american_flag_gloves, american_flag_hat, american_flag_jacket, american_flag_kimono, american_flag_pants, american_flag_print_panties, american_flag_shirt, american_flag_skirt"
american_flag_print_panties,"american_flag_print, print_panties"
american_flag_shirt,"shirt, american_flag_print, print_shirt"
american_flag_skirt,"american_flag_print, print_skirt"
american_flag_tattoo,"american_flag, tattoo"
american_football_helmet,helmet
ammunition,"40mm_grenade, artillery_shell, handgun_cartridge, mortar_shell, rifle_cartridge, shotgun_shell, tank_shell"
amputee,"armless_amputee, double_amputee, quadruple_amputee, legless_amputee, triple_amputee"
amrita_(e.g.o),e.g.o_(project_moon)
anal,"anal_fisting, anal_object_insertion, multiple_anal"
anal_beads,"beads, sex_toy"
anal_fisting,"anal, fisting"
anal_object_insertion,"anal, object_insertion, vibrator_in_anus"
anchor_tattoo,tattoo
ancient_greek_clothes,"greco-roman_clothes, apoptygma, chiton, himation, peplos"
anemone_(flower),flower
angel,fallen_angel
angel_leotard,leotard
anger_vein,spoken_anger_vein
angry,furious
anilingus,"female_rimming_male, rusty_trombone, standing_anilingus"
animal,"baby_animal, clothed_animal, dead_animal, oversized_animal, riding_animal, robot_animal, animal_dildo, animal_on_lap, animal_sexualization, spoken_animal, undersized_animal, animal_in_clothes, animal_insertion, animals_kissing, holding_animal, kissed_by_animal, kissing_animal"
animal_bag,"bear_bag, cat_bag, rabbit_bag, shark_bag"
animal_charm,"charm_(object), bear_charm, rabbit_charm"
animal_costume,"bear_costume, cat_costume, cow_costume, dog_costume, dragon_costume, fox_costume, frog_costume, panda_costume, penguin_costume, rabbit_costume, reindeer_costume, shark_costume, sheep_costume, tiger_costume, wolf_costume"
animal_dildo,"animal, dildo, dog_dildo, horse_dildo, knotted_dildo"
animal_ear_hairband,"hairband, fake_animal_ears, bear_ear_hairband, cat_ear_hairband, cow_ear_hairband, dog_ear_hairband, rabbit_ear_hairband, tiger_ear_hairband"
animal_ear_headband,"fake_animal_ears, headband"
animal_ear_headphones,"headphones, fake_animal_ears, bear_ear_headphones, cat_ear_headphones, fox_ear_headphones, rabbit_ear_headphones"
animal_ear_helmet,"helmet, animal_helmet, cat_helmet"
animal_ear_legwear,"cat_ear_legwear, rabbit_ear_legwear"
animal_ears,"cat_ears, dog_ears, fox_ears, tail, colored_inner_animal_ears, fake_animal_ears, bear_ears, bird_ears, cow_ears, deer_ears, horse_ears, lion_ears, mouse_ears, rabbit_ears, raccoon_ears, tiger_ears, wolf_ears"
animal_hands,"cat_paws, dog_paws, paw_gloves, tiger_paws"
animal_hat,"hat, cat_hat, dog_hat, rabbit_hat"
animal_hood,"hood, bear_hood, boar_hood, cat_hood, dog_hood, fox_hood, frog_hood, mouse_hood, orca_hood, panda_hood, penguin_hood, rabbit_hood, reindeer_hood, shark_hood, sheep_hood, tiger_hood"
animal_on_head,"on_head, bird_on_head, cat_on_head, dog_on_head, panda_on_head, rabbit_on_head"
animal_on_lap,"animal, on_lap, cat_on_lap"
animal_on_shoulder,"on_shoulder, bird_on_shoulder, cat_on_shoulder, hamster_on_shoulder, rabbit_on_shoulder, snake_on_shoulder"
animal_penis,"penis, bull_penis, dog_penis, dolphin_penis, horse_penis, knotted_penis, pig_penis, snake_penis"
animal_print,"bat_print, bear_print, bird_print, butterfly_print, cat_print, cow_print, dog_print, fish_print, frog_print, giraffe_print, leopard_print, rabbit_print, spider_print, tiger_print, zebra_print"
animal_pussy,"pussy, dog_pussy, horse_pussy"
animal_sexualization,"animal, zoophilia"
animal_skull,"skull, bird_skull, cow_skull, deer_skull, ram_skull"
animal_slippers,"slippers, bear_slippers, bunny_slippers, cat_slippers, dog_slippers, duck_slippers, panda_slippers, shark_slippers, sheep_slippers"
animalization,person_and_animalization
animals_kissing,"animal, kiss"
animegao,kigurumi
ankh,"ankh_necklace, ankh_tattoo"
ankh_earrings,earrings
ankh_necklace,"necklace, ankh"
ankh_tattoo,"ankh, tattoo"
ankle_flower,flower
ankle_tattoo,tattoo
anklet,"bead_anklet, lifebuoy_anklet, spiked_anklet, jewelry, gold_anklet, silver_anklet"
anna_miller,waitress
anpan,food
antenna_hair,"ahoge, heart_antenna_hair"
antennae,"horns, fake_antennae, moth_antennae"
anthurium,flower
anti-materiel_rifle,"sniper_rifle, barrett_m82, dsr-50, lahti_l-39, lr2a, mcmillan_tac-50, ntw-20, pgm_hecate_ii, ptrd-41, sig_san_511, srs99, steyr_hs_.50, steyr_iws_2000, vychlop_vks/vssk"
anti-tank_grenade,"grenade, bundled_charge, hafthohlladung"
antique_firearm,"gun, arquebus, blunderbuss, firelock"
antique_phone,"candlestick_phone, rotary_phone"
antlers,"deer_antlers, fake_antlers, reindeer_antlers, horns, antler_grab, moose_antlers, single_antler"
anus,"censored_anus, covered_anus, presenting_own_anus, puckered_anus, spread_anus, spreading_another's_anus, anus_peek, spreading_own_anus, tail_anus"
apple,"fruit, apple_core, apple_on_head, apple_slice, arrow_through_apple, bitten_apple, golden_apple, green_apple"
apple_on_head,"apple, fruit_on_head"
applying_makeup,"applying_another's_makeup, applying_lipstick, applying_own_makeup"
applying_manicure,"clipping_fingernails, painting_fingernails"
applying_pedicure,"clipping_toenails, painting_toenails"
apron,"frilled_apron, gingham_apron, lace-trimmed_apron, maid_apron, naked_apron, nearly_naked_apron, plaid_apron, print_apron, striped_apron, waist_apron, apron_lift, heart_apron, kappougi, ribbon-trimmed_apron, tying_apron"
apron_lift,"apron, clothes_lift"
apron_pull,"apron, clothes_pull"
apron_tug,apron
aqua_anus,anus
aqua_apron,apron
aqua_arm_warmers,arm_warmers
aqua_armband,armband
aqua_armor,armor
aqua_armpit_hair,armpit_hair
aqua_ascot,ascot
aqua_assault_visor,assault_visor
aqua_aura,aura
aqua_bag,bag
aqua_ballet_slippers,ballet_slippers
aqua_bandeau,bandeau
aqua_belt,belt
aqua_bikini,bikini
aqua_bird,bird
aqua_bloomers,bloomers
aqua_blush,blush
aqua_bodysuit,bodysuit
aqua_boots,boots
aqua_border,border
aqua_bow,"bow, aqua_bowtie"
aqua_bowtie,"aqua_bow, bowtie"
aqua_bra,bra
aqua_bridal_gauntlets,bridal_gauntlets
aqua_buruma,buruma
aqua_camisole,camisole
aqua_cape,cape
aqua_capelet,capelet
aqua_car,car
aqua_cardigan,cardigan
aqua_cat,cat
aqua_changpao,changpao
aqua_choker,choker
aqua_claws,claws
aqua_cloak,cloak
aqua_coat,coat
aqua_collar,collar
aqua_corset,corset
aqua_crown,crown
aqua_dress,dress
aqua_facepaint,facepaint
aqua_feathers,feathers
aqua_flower,"flower, aqua_rose"
aqua_garter_belt,garter_belt
aqua_garter_straps,garter_straps
aqua_gloves,gloves
aqua_hairband,hairband
aqua_hakama,hakama
aqua_halo,halo
aqua_hat,hat
aqua_headband,headband
aqua_headdress,headdress
aqua_helmet,helmet
aqua_hiphighs,hiphighs
aqua_hood,hood
aqua_hoodie,hoodie
aqua_horns,horns
aqua_horse,horse
aqua_jacket,jacket
aqua_jumpsuit,jumpsuit
aqua_kimono,kimono
aqua_leash,leash
aqua_leg_warmers,leg_warmers
aqua_leotard,leotard
aqua_lineart,lineart
aqua_lips,lips
aqua_liquid,liquid
aqua_loincloth,loincloth
aqua_magic_circle,magic_circle
aqua_male_swimwear,male_swimwear
aqua_male_underwear,male_underwear
aqua_mask,mask
aqua_mittens,mittens
aqua_necktie,necktie
aqua_negligee,negligee
aqua_nose,nose
aqua_one-piece_swimsuit,one-piece_swimsuit
aqua_overalls,overalls
aqua_overskirt,overskirt
aqua_pajamas,pajamas
aqua_panties,panties
aqua_pants,pants
aqua_pantyhose,pantyhose
aqua_pendant,pendant
aqua_penis,penis
aqua_pillow,pillow
aqua_poncho,poncho
aqua_ribbon,ribbon
aqua_robe,robe
aqua_rope,rope
aqua_rose,"aqua_flower, rose"
aqua_sailor_collar,sailor_collar
aqua_sandals,sandals
aqua_santa_costume,santa_costume
aqua_sarong,sarong
aqua_scales,scales
aqua_scarf,scarf
aqua_scrunchie,scrunchie
aqua_serafuku,serafuku
aqua_shawl,shawl
aqua_shirt,shirt
aqua_shoes,shoes
aqua_shorts,shorts
aqua_shrug,shrug_(clothing)
aqua_skirt,skirt
aqua_snake,snake
aqua_socks,socks
aqua_sports_bra,sports_bra
aqua_suit,suit
aqua_sweater,sweater
aqua_sweater_vest,sweater_vest
aqua_tail,tail
aqua_tank_top,tank_top
aqua_testicles,testicles
aqua_thighhighs,thighhighs
aqua_tiara,tiara
aqua_toga,toga
aqua_tongue,tongue
aqua_tube_top,tube_top
aqua_turban,turban
aqua_umbrella,umbrella
aqua_unitard,unitard
aqua_veil,veil
aqua_vest,vest
aqua_wings,wings
aqua_wrist_cuffs,wrist_cuffs
arachne,"monster_girl, spider_girl, taur"
aran_sweater,"sweater, cable_knit"
arcade_stick,"game_controller, joystick"
arch,"arcade_(architecture), floral_arch"
archery,kyuudou
architecture,"east_asian_architecture, gothic_architecture, greco-roman_architecture, mesoamerican_architecture"
argentinian_flag_print,"argentinian_flag, flag_print"
argyle_apron,argyle_clothes
argyle_bikini,argyle_clothes
argyle_bow,"bow, argyle_bowtie"
argyle_bowtie,"argyle_bow, argyle_clothes"
argyle_bra,argyle_clothes
argyle_capelet,argyle_clothes
argyle_cardigan,argyle_clothes
argyle_clothes,"argyle_cape, argyle_coat, argyle_dress, argyle_footwear, argyle_hat, argyle_jacket, argyle_pantyhose, argyle_scarf, argyle_shirt, argyle_skirt, argyle_sleeves, argyle_socks, argyle_sweater, argyle_sweater_vest, argyle_thighhighs"
argyle_coat,"argyle_clothes, coat"
argyle_dress,"dress, argyle_clothes"
argyle_gloves,argyle_clothes
argyle_hairband,argyle_clothes
argyle_kimono,argyle_clothes
argyle_necktie,"argyle_clothes, necktie"
argyle_panties,argyle_clothes
argyle_pants,"argyle_clothes, pants"
argyle_pantyhose,"pantyhose, argyle_clothes"
argyle_scarf,"argyle_clothes, scarf"
argyle_shorts,argyle_clothes
argyle_socks,"socks, argyle_clothes"
argyle_sweater,"sweater, argyle_clothes"
argyle_sweater_vest,"argyle_clothes, sweater_vest"
argyle_thighhighs,"thighhighs, argyle_clothes"
argyle_vest,argyle_clothes
arisaka,"bolt_action, rifle"
arl-44,tank
arm_blade,weapon
arm_cannon,"weapon, dual_arm_cannons"
arm_hair,"sparse_arm_hair, thick_arm_hair"
arm_warmers,"frilled_arm_warmers, striped_arm_warmers, black_arm_warmers, fishnet_arm_warmers, fur-trimmed_arm_warmers, fur_arm_warmers, lace-trimmed_arm_warmers, lace_arm_warmers, mismatched_arm_warmers, pink_arm_warmers, plaid_arm_warmers, print_arm_warmers, purple_arm_warmers, single_arm_warmer, white_arm_warmers"
armband,"frilled_armband, striped_armband, judgement_armband_(toaru), armband_grab, black_armband, blue_armband, checkered_armband, green_armband, pink_armband, print_armband, purple_armband, red_armband, torn_armband, unworn_armband, white_armband, yellow_armband"
armband_grab,"armband, clothes_grab"
armlet,"spiked_armlet, jewelry, bead_armlet, gold_armlet, multiple_armlets, pearl_armlet, silver_armlet, studded_armlet"
armor,"arm_armor, asymmetrical_armor, bikini_armor, body_armor, broken_armor, helmet, chinese_armor, full_armor, fur-trimmed_armor, hip_armor, japanese_armor, knee_armor, leather_armor, leg_armor, no_armor, ornate_armor, plate_armor, power_armor, saiyan_armor, scale_armor, shoulder_armor, spiked_armor, armored_dress, breastplate, chainmail, faulds, greaves"
armored_dress,"dress, armor"
armored_personnel_carrier,"armored_vehicle, motor_vehicle, btr-80"
armored_skirt,skirt
armored_twintails,"armor, twintails"
armpit_hair,armpit_hair_peek
armpits,"cum_on_armpits, sweaty_armpits, tickling_armpits, armpit_focus, presenting_own_armpit, spread_armpit"
arms_behind_back,"box_tie, reverse_prayer"
arowana,fish
arrow_(projectile),"arrow_in_body, arrow_in_mouth, arrow_through_apple, hamaya, heart_arrow, holding_arrow, planted_arrow"
arrow_(symbol),"arrow_tattoo, recycling_symbol"
arrow_hair_ornament,arrow_symbol_hair_ornament
arrow_in_body,"arrow_(projectile), arrow_in_arm, arrow_in_head"
arrow_in_head,"arrow_in_body, object_through_head"
arrow_in_mouth,"arrow_(projectile), mouth_hold"
arrow_tattoo,"arrow_(symbol), tattoo"
arrow_through_apple,"apple, arrow_(projectile)"
art_tool_censor,"art_tools_in_frame, censored"
arthropod_boy,"bee_boy, beetle_boy, butterfly_boy, centipede_boy, crab_boy, moth_boy, spider_boy"
arthropod_girl,"ant_girl, bee_girl, beetle_girl, butterfly_girl, caterpillar_girl, centipede_girl, cockroach_girl, crab_girl, mantis_girl, millipede_girl, mosquito_girl, moth_girl, scorpion_girl, spider_girl, wasp_girl"
artistic_error,"bad_reflection, wrong_foot, wrong_hand"
as_val,assault_rifle
ascot,"frilled_ascot, ascot_between_breasts, black_ascot, blue_ascot, checkered_ascot, naked_ascot, plaid_ascot, print_ascot, purple_ascot, red_ascot, striped_ascot, torn_ascot, undone_ascot, white_ascot, yellow_ascot"
ascot_between_breasts,"breasts, ascot, clothes_between_breasts"
asian_indian_clothes,sari
asphyxiation,"choking_on_object, drowning"
ass,"bouncing_ass, bulge_to_ass, bursting_ass, covering_ass, cum_in_ass, cum_on_ass, alternate_ass_size_(larger), ass_peek, ass_press, ass_ripple, ass_smack, ass_support, face_in_ass, flat_ass, hand_on_another's_ass, hand_on_own_ass, hands_on_another's_ass, hands_on_own_ass, head_on_ass, huge_ass, mole_on_ass, penis_on_ass, presenting_own_ass, spread_ass, spreading_own_ass, ass_focus"
ass_cutout,clothing_cutout
ass_on_glass,"against_glass, ass_press"
ass_press,"ass, ass_on_glass"
ass_shake,twerking
assault_rifle,"rifle, ak-12, ak-47, ak-74, akm, an-94, em-2, famas, fn_scar, h&k_g11, h&k_hk416, howa_type_89, l85, m16, m4_carbine, sig_556"
assisted_exposure,pantsing
assless_swimsuit,swimsuit
asymmetrical_clothes,"asymmetrical_coat, single_pantsleg"
asymmetrical_coat,"asymmetrical_clothes, coat"
asymmetrical_dress,dress
asymmetrical_footwear,"mismatched_footwear, uneven_footwear"
asymmetrical_legwear,"mismatched_legwear, uneven_legwear"
asymmetrical_sleeves,"mismatched_sleeves, uneven_sleeves"
atari_2600,game_console
atari_jaguar,game_console
attack_helicopter,"helicopter, military_vehicle, ah-1_cobra, ah-1z_viper, ah-64_apache, kamov_ka-50, kamov_ka-52, mi-24, mi-28"
attacking_viewer,"kicking_viewer, punching_viewer, stabbing_viewer"
attribute_slider,breast_slider
aura,dark_aura
australian_flag_bikini,"australian_flag_print, flag_print_bikini"
australian_flag_print,"australian_flag, flag_print, australian_flag_bikini"
autocannon,"cannon, bofors_40_mm_gun"
autocunnilingus,"cunnilingus, masturbation"
autofacial,"cum_on_self, facial"
autofellatio,"fellatio, masturbation"
autopaizuri,"masturbation, paizuri"
axe,"battle_axe, blood_on_axe, double-sided_axe, fire_axe, hatchet_(axe), holding_axe, minecraft_axe, planted_axe, tomahawk"
azalea_(flower),flower
azure_flute,flute
azure_hypnocatrice_(armor),hypnocatrice_(armor)
b&t_mp9,submachine_gun
baby_animal,"animal, bear_cub, calf_(animal), chick, duckling, fawn, fox_cub, kitten, lamb, lion_cub, panda_cub, penguin_chick, piglet, puppy, tiger_cub, wolf_cub"
babydoll,"frilled_babydoll, see-through_babydoll, aqua_babydoll, black_babydoll, blue_babydoll, brown_babydoll, cupless_babydoll, green_babydoll, grey_babydoll, pink_babydoll, purple_babydoll, red_babydoll, ribbon-trimmed_babydoll, white_babydoll, yellow_babydoll"
back,"arm_around_another's_back, arm_held_back, arms_around_another's_back, bangs_pinned_back, bare_back, bent_back, back_cover, back_tattoo, breasts_on_another's_back, cum_on_back, facing_back, gun_on_back, hair_pulled_back, hair_slicked_back, hand_on_another's_back, hands_on_another's_back, hat_on_back, head_back, instrument_case_on_back, scar_on_back, shield_on_back, sidelocks_tied_back, sway_back, sword_on_back, weapon_on_back, back_focus"
back_cover,"back, cover"
back_pain,pain
back_tattoo,"tattoo, back, tramp_stamp"
backboob,"breasts, far_side_backboob"
backless_dress,"dress, backless_outfit"
backpack,"bag, randoseru, unworn_backpack"
backpacking_stove,portable_stove
backward-facing_horns,horns
bacon,food
bad_anatomy,"bad_ass, bad_face, bad_hands, bad_leg, bad_neck, bad_vulva"
bad_reflection,"artistic_error, reflection"
badge,"button_badge, police_badge, sheriff_badge, badge_(pokemon), character_badge, fukutaichou_badge, holding_badge"
bag,"backpack, bagged_fish, duffel_bag, handbag, holding_bag, in_bag, kindergarten_bag, paper_bag, plastic_bag, satchel, school_bag, shopping_bag, shoulder_bag, tote_bag, unworn_bag"
bagged_fish,"fish, bag"
bagpipes,instrument
bagua,trigram
